author,author_sex,author_work_count,rating_count,log_author_work_count,bins
elizabeth goudge,female,57,3909.25,1.7558748556724915,experienced
elizabeth hall,female,41,132.0,1.6127838567197355,experienced
elizabeth hand,female,161,1427.0,2.2068258760318495,legendary
elizabeth harrower,female,12,891.0,1.0791812460476249,budding
elizabeth hartley winthrop,female,8,1033.0,0.9030899869919435,newbie
elizabeth hay,female,19,6605.5,1.2787536009528289,budding
elizabeth haydon,female,37,7707.875,1.568201724066995,experienced
elizabeth haynes,female,16,30077.0,1.2041199826559248,budding
elizabeth hoyt,female,33,12104.5,1.5185139398778875,experienced
elizabeth hunter,female,54,12883.333333333334,1.7323937598229686,experienced
elizabeth jane howard,female,51,3928.5,1.7075701760979363,experienced
elizabeth kay,female,18,1342.0,1.255272505103306,budding
elizabeth kerner,female,5,3053.3333333333335,0.6989700043360189,newbie
elizabeth kerri mahon,female,3,1345.0,0.47712125471966244,newbie
elizabeth knox,female,79,1829.0,1.8976270912904414,experienced
elizabeth kolbert,female,15,45139.0,1.1760912590556813,budding
elizabeth kostova,female,13,133619.0,1.1139433523068367,budding
elizabeth laird,female,118,622.0,2.0718820073061255,legendary
elizabeth lenhard,female,43,630.0,1.6334684555795864,experienced
elizabeth letts,female,8,11267.0,0.9030899869919435,newbie
elizabeth lim,female,7,5048.0,0.8450980400142568,newbie
elizabeth loupas,female,6,983.0,0.7781512503836436,newbie
elizabeth lowell,female,94,2987.1428571428573,1.9731278535996986,experienced
elizabeth marie pope,female,4,5792.0,0.6020599913279624,newbie
elizabeth marshall,female,9,176.5,0.9542425094393249,newbie
elizabeth marshall thomas,female,40,1564.0,1.6020599913279623,experienced
elizabeth massie,female,149,1049.0,2.173186268412274,legendary
elizabeth may,female,9,10470.0,0.9542425094393249,newbie
elizabeth mccracken,female,28,6653.0,1.4471580313422192,budding
elizabeth mcdavid jones,female,14,663.5,1.146128035678238,budding
elizabeth moon,female,73,9285.5,1.863322860120456,experienced
elizabeth musser,female,27,87.0,1.4313637641589874,budding
elizabeth neuffer,female,2,308.0,0.3010299956639812,newbie
elizabeth noble,female,34,4327.0,1.5314789170422551,experienced
elizabeth norris,female,8,12811.0,0.9030899869919435,newbie
elizabeth o'roark,female,13,2039.6666666666667,1.1139433523068367,budding
elizabeth orton jones,female,23,467.0,1.3617278360175928,budding
elizabeth paradise,female,10,22.0,1.0,newbie
elizabeth payson prentiss,female,54,6315.0,1.7323937598229686,experienced
elizabeth peters,female,85,15681.6,1.9294189257142926,experienced
elizabeth reyes,female,37,8240.222222222223,1.568201724066995,experienced
elizabeth richards,female,5,10864.0,0.6989700043360189,newbie
elizabeth rosner,female,8,398.0,0.9030899869919435,newbie
elizabeth rudnick,female,56,6513.0,1.7481880270062005,experienced
elizabeth ruth,female,8,86.0,0.9030899869919435,newbie
elizabeth scott,female,22,15066.57142857143,1.3424226808222062,budding
elizabeth strout,female,34,70524.2,1.5314789170422551,experienced
elizabeth stuckey-french,female,11,240.0,1.0413926851582251,budding
elizabeth swados,female,33,38.0,1.5185139398778875,experienced
elizabeth vaughan,female,36,9762.0,1.5563025007672873,experienced
elizabeth von arnim,female,72,9655.0,1.8573324964312685,experienced
elizabeth warnock fernea,female,18,2744.0,1.255272505103306,budding
elizabeth wein,female,34,55069.0,1.5314789170422551,experienced
elizabeth winthrop,female,63,17428.0,1.7993405494535817,experienced
elizabeth woods,female,15,4241.0,1.1760912590556813,budding
elizabeth wurtzel,female,7,54217.0,0.8450980400142568,newbie
elizabeth yates,female,58,8372.0,1.7634279935629373,experienced
elizabeth young,female,19,8412.0,1.2787536009528289,budding
elizabeth yu-gesualdi,female,2,64.0,0.3010299956639812,newbie
elke heidenreich,female,82,515.0,1.9138138523837167,experienced
ella fox,female,46,7255.833333333333,1.662757831681574,experienced
ella jade,female,52,283.0,1.7160033436347992,experienced
ella james,female,59,3050.0,1.7708520116421442,experienced
